sector_id,scenario,rank,title,category,score_delta,from_score,to_score,suggested_lat,suggested_lng
21001A30-,senior,1,+1 GP / doctor within 300m,gp,12,65,77,50.826535,4.302082
21001A30-,senior,2,+1 hospital within 0m,hospital,6,65,71,50.824624,4.299056
21001A30-,senior,3,+1 library within 400m,library,5,65,70,50.826072,4.30459
21001A31-,family,1,+1 childcare centre within 400m,childcare,10,81,91,50.827841,4.313542
21001A31-,family,2,+1 GP / doctor within 400m,gp,3,81,84,50.832925,4.313542
21001A31-,family,3,+1 transit stop within 300m,transit,3,81,84,50.830383,4.304965
21001A31-,remote,1,+1 coworking space within 550m,coworking,7,82,89,50.828457,4.302157
21001A31-,remote,2,+1 transit stop within 300m,transit,4,82,86,50.830383,4.304965
21001A31-,remote,3,+1 library within 550m,library,4,82,86,50.832309,4.316879
21001A31-,senior,1,+1 GP / doctor within 300m,gp,21,49,70,50.832294,4.312544
21001A31-,senior,2,+1 transit stop within 250m,transit,13,49,62,50.830383,4.306095
21001A31-,senior,3,+1 local shop within 200m,convenience,4,49,53,50.829237,4.307702
21001A32-,family,1,+1 childcare centre within 400m,childcare,10,77,87,50.825374,4.311728
21001A32-,family,2,+1 playground within 250m,playground,5,77,82,50.829909,4.309011
21001A32-,remote,1,+1 café within 400m,cafe,8,80,88,50.824595,4.309882
21001A32-,remote,2,+1 library within 550m,library,7,80,87,50.829842,4.315065
21001A32-,senior,1,+1 hospital within 0m,hospital,6,67,73,50.827916,4.307704
21001A32-,senior,2,+1 transit stop within 250m,transit,6,67,73,50.827916,4.304281
21001A32-,senior,3,+1 local shop within 200m,convenience,5,67,72,50.82677,4.305889
21001A331,family,1,+1 childcare centre within 400m,childcare,10,69,79,50.821826,4.308063
21001A331,family,2,+1 playground within 250m,playground,6,69,75,50.82636,4.305346
21001A331,family,3,+1 transit stop within 300m,transit,5,69,74,50.824367,4.299487
21001A331,remote,1,+1 transit stop within 300m,transit,7,76,83,50.824367,4.299487
21001A331,remote,2,+1 library within 550m,library,7,76,83,50.826293,4.3114
21001A331,remote,3,+1 café within 400m,cafe,5,76,81,50.821047,4.306217
21001A331,senior,1,+1 GP / doctor within 300m,gp,17,36,53,50.826279,4.307065
21001A331,senior,2,+1 transit stop within 250m,transit,15,36,51,50.824367,4.300617
21001A331,senior,3,+1 hospital within 0m,hospital,8,36,44,50.824367,4.30404
21001A332,family,1,+1 childcare centre within 400m,childcare,9,81,90,50.82052,4.305293
21001A332,family,2,+1 GP / doctor within 400m,gp,3,81,84,50.825603,4.305293
21001A332,remote,1,+1 library within 550m,library,6,88,94,50.824987,4.30863
21001A332,remote,2,+1 café within 400m,cafe,3,88,91,50.819741,4.303447
21001A332,remote,3,+1 GP / doctor within 400m,gp,2,88,90,50.825603,4.305293
21001A332,senior,1,+1 GP / doctor within 300m,gp,20,51,71,50.824973,4.304295
21001A332,senior,2,+1 hospital within 0m,hospital,8,51,59,50.823062,4.30127
21001A332,senior,3,+1 supermarket within 300m,supermarket,7,51,58,50.820359,4.30127
21001A34-,family,1,+1 childcare centre within 400m,childcare,10,76,86,50.817488,4.300643
21001A34-,family,2,+1 supermarket within 400m,supermarket,9,76,85,50.816435,4.29662
21001A34-,family,3,+1 GP / doctor within 400m,gp,3,76,79,50.822571,4.300643
21001A34-,remote,1,+1 coworking space within 550m,coworking,13,76,89,50.818104,4.28926
21001A34-,remote,2,+1 supermarket within 400m,supermarket,9,76,85,50.816435,4.29662
