sector_id,scenario,score,percentile,breakdown
21001A07-,remote,0.590616,20.9,"{""supermarket"": 0.06, ""pharmacy"": 0.0651, ""convenience"": 1.0, ""gp"": 0.0, ""park"": 0.7083, ""playground"": 0.0, ""transit"": 0.6992, ""cafe"": 1.0, ""library"": 0.0, ""restaurant"": 1.0, ""sport"": 1.0, ""coworking"": 1.0}"
21001A07-,senior,0.258497,6.8,"{""supermarket"": 0.0, ""convenience"": 0.8581, ""gp"": 0.0, ""hospital"": 0.2461, ""park"": 0.2759, ""library"": 0.0, ""transit"": 0.2666, ""cafe"": 1.0, ""restaurant"": 0.2884, ""sport"": 1.0}"
21001A08-,family,0.853723,54.2,"{""school"": 1.0, ""childcare"": 0.021, ""supermarket"": 0.6964, ""pharmacy"": 0.9998, ""convenience"": 1.0, ""gp"": 0.9412, ""hospital"": 0.713, ""park"": 1.0, ""playground"": 0.949, ""transit"": 0.9999, ""cafe"": 1.0, ""restaurant"": 1.0, ""library"": 1.0, ""sport"": 1.0}"
21001A08-,remote,0.777608,57.1,"{""supermarket"": 0.6964, ""pharmacy"": 0.9998, ""convenience"": 1.0, ""gp"": 0.9412, ""park"": 1.0, ""playground"": 0.949, ""transit"": 0.9999, ""cafe"": 1.0, ""library"": 1.0, ""restaurant"": 1.0, ""sport"": 1.0, ""coworking"": 0.0649}"
21001A08-,senior,0.704394,55.7,"{""supermarket"": 0.2637, ""convenience"": 0.1727, ""gp"": 0.6292, ""hospital"": 0.5496, ""park"": 1.0, ""library"": 1.0, ""transit"": 0.8737, ""cafe"": 1.0, ""restaurant"": 1.0, ""sport"": 1.0}"
21001A10-,family,0.95761,91.2,"{""school"": 1.0, ""childcare"": 0.6381, ""supermarket"": 1.0, ""pharmacy"": 1.0, ""convenience"": 1.0, ""gp"": 1.0, ""hospital"": 0.9391, ""park"": 0.9708, ""playground"": 1.0, ""transit"": 1.0, ""cafe"": 1.0, ""restaurant"": 1.0, ""library"": 1.0, ""sport"": 1.0}"
21001A10-,remote,0.808037,64.0,"{""supermarket"": 1.0, ""pharmacy"": 1.0, ""convenience"": 1.0, ""gp"": 1.0, ""park"": 0.9708, ""playground"": 1.0, ""transit"": 1.0, ""cafe"": 1.0, ""library"": 1.0, ""restaurant"": 1.0, ""sport"": 1.0, ""coworking"": 0.0606}"
21001A10-,senior,0.962768,98.1,"{""supermarket"": 1.0, ""convenience"": 1.0, ""gp"": 1.0, ""hospital"": 0.8948, ""park"": 0.7119, ""library"": 1.0, ""transit"": 1.0, ""cafe"": 1.0, ""restaurant"": 1.0, ""sport"": 1.0}"
21001A112,family,0.860511,55.6,"{""school"": 1.0, ""childcare"": 0.2102, ""supermarket"": 1.0, ""pharmacy"": 1.0, ""convenience"": 1.0, ""gp"": 0.4781, ""hospital"": 0.7955, ""park"": 1.0, ""playground"": 1.0, ""transit"": 1.0, ""cafe"": 1.0, ""restaurant"": 1.0, ""library"": 0.7534, ""sport"": 1.0}"
21001A112,remote,0.915131,82.4,"{""supermarket"": 1.0, ""pharmacy"": 1.0, ""convenience"": 1.0, ""gp"": 0.4781, ""park"": 1.0, ""playground"": 1.0, ""transit"": 1.0, ""cafe"": 1.0, ""library"": 0.7534, ""restaurant"": 1.0, ""sport"": 1.0, ""coworking"": 0.8048}"
21001A112,senior,0.697405,54.9,"{""supermarket"": 1.0, ""convenience"": 1.0, ""gp"": 0.1065, ""hospital"": 0.6673, ""park"": 1.0, ""library"": 0.3052, ""transit"": 1.0, ""cafe"": 1.0, ""restaurant"": 1.0, ""sport"": 1.0}"
